,swl_code,swl_description,swl_unit,belongs_to,swl_metacode,swl_source,code,code_long_name,code_system,version,ucum_unit,validated
2401,LAPTT,aPTT (LA-empfindlich),sec,Gerinnung Sonstiges,emptyvalue,emptyvalue,34571-0,aPTT.lupus sensitive (LA screen),http://loinc.org,2.73,s,X
2402,LAMYQ,Quotient aus 10*(Liquor ß-Amyloid 1-42) und (Liquor ß-Amyloid 1-40),pg/ml,Liquordiagnostik,emptyvalue,emptyvalue,98485-6,Amyloid beta 42 peptide/Amyloid beta 40 peptide [Mass Ratio] in Cerebral spinal fluid,http://loinc.org,2.71,emptyvalue,emptyvalue
2403,LAMY40,ß-Amyloid 1-40 (Liquor) [Fremdlabor],pg/ml,Liquordiagnostik,emptyvalue,emptyvalue,70072-4,Amyloid beta 40 peptide [Mass/volume] in Cerebral spinal fluid,http://loinc.org,2.70,pg/mL,X
2404,LAMY,ß-Amyloid 1-42 (Liquor) [Fremdlabor],pg/ml,Liquordiagnostik,emptyvalue,emptyvalue,33203-1,Amyloid beta 42 peptide [Mass/volume] in Cerebral spinal fluid,http://loinc.org,2.42,pg/mL,X
2406,LAMPHIB,"Amphiphysin, Ak geg. (Liquor) [Fremdlabor]",emptyvalue,Liquordiagnostik,emptyvalue,emptyvalue,57750-2,Amphiphysin Ab [Presence] in Cerebral spinal fluid by Immunoblot,http://loinc.org,2.58,emptyvalue,X
2408,LAMPAR,"AMPA-Rezeptoren, Ak geg. (Liquor) [Fremdlabor]",Titer,Sonstige Autoantikörper,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
2409,LAMO,Lamotrigin,mg/l,Antiepileptika,emptyvalue,emptyvalue,6948-4,lamoTRIgine [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,mg/L,X
2410,LAMBF,"Lambda Leichtketten, freie",mg/l,Proteindiagnostik,emptyvalue,emptyvalue,80516-8,Lambda light chains.free [Mass/volume] in Serum by Nephelometry,http://loinc.org,2.63,mg/L,X
2411,LAMB,Lambda-LK (Serum),mg/l,#NV,emptyvalue,emptyvalue,11051-0	,Lambda light chains [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,mg/dL,X
2412,LAM,Laminin,kU/l,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
2413,LALB,Albumin (Liquor),g/l,Liquordiagnostik,emptyvalue,emptyvalue,1746-7,Albumin [Mass/volume] in Cerebral spinal fluid,http://loinc.org,2.38,g/L,X
2416,LAKT,"Laktoferrin, Ak geg.",Ratio,Vasculitis assoziierte Autoantikörper,emptyvalue,emptyvalue,59003-4,Lactoferrin Ab [Units/volume] in Serum by Immunoassay,http://loinc.org,2.70,&#123;ratio},X
2417,LACT,Laktat im Perchlorsäureextrakt [Fremdlabor],mmol/l,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,mmol/L,X
2418,LAC-POCT,L-Lactat-Konz. in Plasma,mmol/L,BGA Sonstiges,emptyvalue,emptyvalue,32693-4,Lactate [Moles/volume] in Blood,http://loinc.org,2.73,emptyvalue,X
2419,LAC-POCT,L-Lactat-Konz. in Plasma,mmol/L,Blutgasanalyse arteriell,emptyvalue,Arteriell,2518-9,Lactate [Moles/volume] in Arterial blood,http://loinc.org,2.38,mmol/L,X
2420,LAC-POCT,L-Lactat-Konz. in Plasma,mmol/L,Blutgasanalyse kapillär,emptyvalue,Kapillare,19239-3,Lactate [Moles/volume] in Capillary blood,http://loinc.org,2.42,mmol/L,X
2421,LAC-POCT,L-Lactat-Konz. in Plasma,mmol/L,BGA Sonstiges,emptyvalue,gemischtVenoes,19240-1,Lactate [Moles/volume] in Mixed venous blood,http://loinc.org,2.42,mmol/L,X
2422,LAC-POCT,L-Lactat-Konz. in Plasma,mmol/L,Blutgasanalyse venös,emptyvalue,Venoes,2519-7,Lactate [Moles/volume] in Venous blood,http://loinc.org,2.34,mmol/L,X
2423,LACOS,Lacosamid [Fremdlabor],mg/l,Psychopharmaka,emptyvalue,emptyvalue,59297-2,Lacosamide [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,mg/L,X
2424,LACONmod,DVV-BT (LA-Bestätigungstest) (modifiziert),sec,emptyvalue,emptyvalue,emptyvalue,57838-5	,dRVVT W excess phospholipid (LA confirm),emptyvalue,2.73,s,emptyvalue
2425,LACON,DVV-BT (LA-Bestätigungstest),sec,emptyvalue,emptyvalue,emptyvalue,emptyvalue,dRVVT in Control Platelet poor plasma by Coagulation assay  ,emptyvalue,emptyvalue,s,X
2426,LACE,ACE (Liquor) [Fremdlabor],U/l,Proteindiagnostik,emptyvalue,emptyvalue,12480-0,emptyvalue,http://loinc.org,emptyvalue,U/L,X
2431,LAC,Lupus Antikoagulanz [Fremdlabor],emptyvalue,#NV,emptyvalue,emptyvalue,75514-0,Lupus anticoagulant two screening tests W Reflex [interpretation],http://loinc.org,2.50,emptyvalue,emptyvalue
2434,LA90,Laktat 90 min,mmol/l,Klinische Chemie,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,mmol/L,X
2435,LA60,Laktat 60 min,mmol/l,Klinische Chemie,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,mmol/L,X
2436,LA30,Laktat 30 min,mmol/l,#NV,emptyvalue,emptyvalue,59013-3	,Lactate [Moles/volume] in Serum or Plasma --30 minutes post XXX challenge,http://loinc.org,2.70,mmol/L,X
2437,LA15,Laktat 15 min,mmol/l,#NV,emptyvalue,emptyvalue,59012-5,Lactate [Moles/volume] in Serum or Plasma --15 minutes post XXX challenge,http://loinc.org,2.70,mmol/L,X
2438,LA0,Laktat 0 min,mmol/l,#NV,emptyvalue,emptyvalue,59004-2,Lactate [Moles/volume] in Serum or Plasma --baseline,http://loinc.org,2.70,mmol/L,X
2439,LA,Laktat,mmol/l,Klinische Chemie,emptyvalue,emptyvalue,2524-7,Lactate [Moles/volume] in Serum or Plasma,http://loinc.org,2.70,mmol/L,X
2441,KU,"KU,  Ak geg. [Fremdlabor]",emptyvalue,Myositis-assoziierte Autoantikörper,emptyvalue,emptyvalue,69556-9,Ku Ab [Presence] in Serum by Immunoblot,http://loinc.org,2.58,emptyvalue,X
2443,K-S,Kalium im Serum,mmol/l,emptyvalue,emptyvalue,emptyvalue,2823-3,Potassium [Moles/volume] in Serum or Plasma,http://loinc.org,2.73,mmol/L,X
2445,KRYOG,Kryoglobuline [Fremdlabor],emptyvalue,Proteindiagnostik,emptyvalue,emptyvalue,5117-7,Cryoglobulin [Presence] in Serum,http://loinc.org,2.56,emptyvalue,X
2446,KRYOF,Kryofibrinogen [Fremdlabor],%,Klinische Chemie,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,%,X
2447,KRISTP,Kristalle (Urin),/µl,Urinsediment,emptyvalue,emptyvalue,51482-8,Crystals [#/volume] in Urine by Automated count,http://loinc.org,2.42,/uL,X
2448,KREA-S,Kreatinin im Serum,mg/dl,Klinische Chemie,emptyvalue,emptyvalue,2160-0,Creatinine [Mass/volume] in Serum or Plasma,http://loinc.org,2.73,mg/dL,X
2449,KREA,Kreatinin,mg/dl,Klinische Chemie,emptyvalue,emptyvalue,2160-0,Creatinine [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,mg/dL,X
2450,KRCL,Kreatinin-Clearance,ml/min,#NV,emptyvalue,emptyvalue,33558-8,Creatinine renal clearance in Urine and Serum or Plasma collected for unspecified duration,http://loinc.org,2.70,mL/min,X
2451,K+-POCT,Kalium-Ionen-Konz. in Plasma,mmol/L,BGA Sonstiges,emptyvalue,gemischtVenoes,41656-0,Potassium [Moles/volume] in Mixed venous blood,http://loinc.org,2.70,mmol/L,X
2452,K+-POCT,Kalium-Ionen-Konz. in Plasma,mmol/L,BGA Sonstiges,emptyvalue,emptyvalue,6298-4,Potassium [Moles/volume] in Blood,http://loinc.org,2.73,emptyvalue,X
2453,K+-POCT,Kalium-Ionen-Konz. in Plasma,mmol/L,Blutgasanalyse kapillär,emptyvalue,Kapillare,39790-1,Potassium [Moles/volume] in Capillary blood,http://loinc.org,2.70,mmol/L,X
2454,K+-POCT,Kalium-Ionen-Konz. in Plasma,mmol/L,Blutgasanalyse arteriell,emptyvalue,Arteriell,32713-0	,Potassium [Moles/volume] in Arterial blood,http://loinc.org,2.70,mmol/L,X
2455,K+-POCT,Kalium-Ionen-Konz. in Plasma,mmol/L,Blutgasanalyse venös,emptyvalue,Venoes,39789-3,Potassium [Moles/volume] in Venous blood,http://loinc.org,2.70,mmol/L,X
2456,KOPRO,Koprophorphyrin (Plasma),µg/dl,Unters. bei Stoffwechselerkrankungen,emptyvalue,emptyvalue,14157-2,Coproporphyrin [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,ug/dL,X
2464,KLFQ,"Kappa,frei/Lambda,frei - Quotient",emptyvalue,Proteindiagnostik,emptyvalue,emptyvalue,48378-4,Kappa light chains.free/Lambda light chains.free [Mass Ratio] in Serum,http://loinc.org,2.69,&#123;ratio},X
2465,KKVPCR,Krimkongovirus,emptyvalue,Virologie,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
2466,-KIAA,AK geg. hum. Insulin,U/L,Diabetes Mellitus assoziierte Autoantikörper,emptyvalue,emptyvalue,8074-7,Insulin human Ab [Units/volume] in Serum,http://loinc.org,2.68,[arb'U]/mL,X
2467,KETONK,Ketonkörper im Serum [Fremdlabor],emptyvalue,Klinische Chemie,emptyvalue,emptyvalue,2513-0,Ketones [Presence] in Serum or Plasma,http://loinc.org,2.56,emptyvalue,X
2469,KETA,Ketamin [Fremdlabor],µg/l,#NV,emptyvalue,emptyvalue,3701-0,Ketamine [Mass/volume] in Serum or Plasma,http://loinc.org,2.42,ug/L,X
2470,KERNSa,Zerstörte Zellen (abs.),G/l,emptyvalue,emptyvalue,Mikroskop,68437-3,Smudge cells [#/volume] in Blood by Manual count,http://loinc.org,2.70,10*9/L,X
2471,KERNS,Zerstörte Zellen,%,0,emptyvalue,Mikroskop,14912-0,Smudge cells/100 leukocytes in Blood by Manual count,http://loinc.org,2.73,%,X
2472,KCTXTGR,Textgruppe Zentrallabor,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
2473,KCT,Kaolin Clotting Time,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue
2475,KCPUNK,Anzeigevektor Punktat-Parameter,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
2482,KCBEUR,Beurteilung,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue
2541,KAPPF,"Kappa Leichtketten, freie",mg/l,Proteindiagnostik,emptyvalue,emptyvalue,80515-0,Kappa light chains.free [Mass/volume] in Serum by Nephelometry,http://loinc.org,2.63,mg/L,X
2542,KAPP,Kappa-LK (Serum),mg/l,Proteindiagnostik,emptyvalue,emptyvalue,11050-2,Kappa light chains [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,mg/L,X
2543,k87IgG,"Alpha-Amylase, nAsp o1. IgG gegen",mg/l,#NV,emptyvalue,emptyvalue,99474-9,Amylase IgG Ab [Mass/volume] in Serum,http://loinc.org,2.72,mg/L,X
2544,k87IgE,"Alpha-Amylase nAsp o1, IgE geg.",kU/L,Umwelt- und Berufsallergene IgE,emptyvalue,emptyvalue,7073-0,Amylase IgE Ab [Units/volume] in Serum,http://loinc.org,2.42,k[IU]/L,X
2545,k85IgE,"Chloramin T, IgE geg.",kU/l,Umwelt- und Berufsallergene IgE,emptyvalue,emptyvalue,6072-3,Chloramin T IgE Ab [Units/volume] in Serum,http://loinc.org,2.70,k[IU]/L,X
2546,k84IgE,"Sonnenblumensamen, IgE geg.",kU/l,Nahrungsmittelallergene IgE,emptyvalue,emptyvalue,6258-8,Sunflower Seed IgE Ab [Units/volume] in Serum,http://loinc.org,2.73,k[IU]/L,X
2547,k82IgG,"Latex (Hevea brasiliensis, IgG gegen",mg/l,#NV,emptyvalue,emptyvalue,63161-4,Latex IgG Ab [Mass/volume] in Serum,http://loinc.org,2.70,mg/L,X
2548,k82IgE,"Latex, IgE geg.",kU/l,Umwelt- und Berufsallergene IgE,emptyvalue,emptyvalue,6158-0,Latex IgE Ab [Units/volume] in Serum,http://loinc.org,2.70,k[IU]/L,X
2549,k81IgE,"Ficus Spp, IgE geg.",kU/l,Umwelt- und Berufsallergene IgE,emptyvalue,emptyvalue,6116-8,Ficus sp IgE Ab [Units/volume] in Serum,http://loinc.org,2.70,k[IU]/L,X
2550,k80IgG,"Formaldehyd,Formalin, Allergenspez. IgG gegen",mg/l,#NV,emptyvalue,emptyvalue,13180-5,Formaldehyde IgG Ab [Units/volume] in Serum,http://loinc.org,2.69,mg/L,X
2551,k80IgE,"Formaldehyd, IgE geg.",kU/l,Umwelt- und Berufsallergene IgE,emptyvalue,emptyvalue,6119-2,Formaldehyde IgE Ab [Units/volume] in Serum,http://loinc.org,2.70,k[IU]/L,X
2552,k79IgG,"Phthalsäureanhydrid, IgG geg.",mg/l,#NV,emptyvalue,emptyvalue,35550-3,Phthalic anhydride IgG Ab [Mass/volume] in Serum,http://loinc.org,2.70,mg/L,X
2553,k79IgE,"Phtalsäure-Anhydrid, IgE geg.",kU/l,Umwelt- und Berufsallergene IgE,emptyvalue,emptyvalue,7601-8,Phthalic anhydride IgE Ab [Units/volume] in Serum,http://loinc.org,2.42,k[IU]/L,X
2554,k78IgE,"Ethylenoxid, IgE geg.",kU/L,Umwelt- und Berufsallergene IgE,emptyvalue,emptyvalue,6112-7,Ethylene oxide IgE Ab [Units/volume] in Serum,http://loinc.org,2.70,k[IU]/L,X
2555,k77IgG,"Isocyanate HDI, IgG gegen",mg/l,IgG Antigene,emptyvalue,emptyvalue,61141-8,Isocyanate HDI IgG Ab [Mass/volume] in Serum,http://loinc.org,2.70,mg/L,X
2556,k77IgE,"Isocyanat HDI, IgE geg.",kU/l,Umwelt- und Berufsallergene IgE,emptyvalue,emptyvalue,7429-4,Isocyanate HDI IgE Ab [Units/volume] in Serum,http://loinc.org,2.42,k[IU]/L,X
2557,k76IgG,"Isocyanate MDI, IgG gegen",mg/l,emptyvalue,emptyvalue,emptyvalue,61140-0	,Isocyanate MDI IgG Ab [Mass/volume] in Serum,http://loinc.org,2.70,mg/L,X
2559,k76IgE,"Isocyanat MDI, IgE geg.",kU/l,Umwelt- und Berufsallergene IgE,emptyvalue,emptyvalue,7430-2,Diphenylmethane diisocyanate (MDI) Ab.IgE,http://loinc.org,2.42,k[IU]/L,X
2560,k75IgG,"Isocyanate TDI, IgG gegen",mg/l,IgG Antigene,emptyvalue,emptyvalue,61139-2,Isocyanate TDI IgG Ab [Mass/volume] in Serum,http://loinc.org,2.70,mg/L,X
2562,k75IgE,"Isocyanat TDI, IgE geg.",kU/l,Umwelt- und Berufsallergene IgE,emptyvalue,emptyvalue,7431-0,Isocyanate TDI IgE Ab [Units/volume] in Serum,http://loinc.org,2.52,k[IU]/L,X
2563,k74IgE,"Rohseide (Bombyx mori), IgE geg.",kU/l,Umwelt- und Berufsallergene IgE,emptyvalue,emptyvalue,6247-1,Silk IgE Ab [Units/volume] in Serum,http://loinc.org,2.70,k[IU]/L,X
2564,K60,Kalium 60 min,mmol/l,Klinische Chemie,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,mmol/L,X
2569,K240,Kalium 240 min,mmol/l,Klinische Chemie,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,mmol/L,X
2570,k221IgE,"Latexkomponente, rHev b 8, IgE geg.",kU/l,Inhalationsallergene IgE,emptyvalue,emptyvalue,56597-8,Latex recombinant (rHev b) 8 IgE Ab [Units/volume] in Serum,http://loinc.org,2.42,k[IU]/L,X
2571,k220IgE,"Latexkomponente, rHev b 6.02, IgE geg. [Phadia]",kU/l,Inhalationsallergene IgE,emptyvalue,emptyvalue,50649-3,Latex recombinant (rHev b) 6.02 IgE Ab [Units/volume] in Serum,http://loinc.org,2.70,k[IU]/L,X
2572,k218IgE,"Latexkomponente, rHev b 5, IgE geg.",kU/l,Inhalationsallergene IgE,emptyvalue,emptyvalue,56596-0,Latex recombinant (rHev b) 5 IgE Ab [Units/volume] in Serum,http://loinc.org,2.42,k[IU]/L,X
2573,k217IgE,"Latexkomponente, rHev b 3, IgE geg.",kU/l,Inhalationsallergene IgE,emptyvalue,emptyvalue,56595-2,Latex recombinant (rHev b) 3 IgE Ab [Units/volume] in Serum,http://loinc.org,2.42,k[IU]/L,X
2574,k215IgE,"Latexkomponente, rHev b 1, IgE geg.",kU/l,Inhalationsallergene IgE,emptyvalue,emptyvalue,50646-9,Latex recombinant (rHev b) 1 IgE Ab [Units/volume] in Serum,http://loinc.org,2.70,k[IU]/L,X
2575,k212IgE,"Abachi Holzstaub, IgE geg.",kU/l,Umwelt- und Berufsallergene IgE,emptyvalue,emptyvalue,19724-4,Abachi Wood Dust IgE Ab [Units/volume] in Serum,http://loinc.org,2.42,k[IU]/L,X
2576,k209IgE,"Hexahydrophthalsäure-Anhydrid, IgE geg.",kU/l,Umwelt- und Berufsallergene IgE,emptyvalue,emptyvalue,19742-6,Hexahydrophthalic anhydride (HHPA) IgE Ab [Units/volume] in Serum,http://loinc.org,2.54,k[IU]/L,X
2579,K120,Kalium 120 min,mmol/l,Klinische Chemie,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,mmol/L,X
2588,K0,Kalium 0 min,mmol/l,Klinische Chemie,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,mmol/L,X
2589,K,Kalium,mmol/l,Klinische Chemie,emptyvalue,emptyvalue,2823-3,Potassium [Moles/volume] in Serum or Plasma,http://loinc.org,2.70,mmol/L,X
2590,JOLL,Jollykoerper,emptyvalue,Blutbild,emptyvalue,emptyvalue,7793-3,Howell-Jolly bodies [Presence] in Blood by Light microscopy,http://loinc.org,2.70,emptyvalue,X
2592,JO1B,"Jo-1 (qual.), Ak geg. [Fremdlabor]",emptyvalue,Myositis-assoziierte Autoantikörper,emptyvalue,emptyvalue,56731-3,Jo-1 extractable nuclear Ab [Presence] in Serum by Immunoblot,http://loinc.org,2.58,emptyvalue,X
2596,JO1,"Jo-1, Ak geg.",Ratio,Myositis-assoziierte Autoantikörper,emptyvalue,emptyvalue,5234-0,Jo-1 extractable nuclear Ab [Presence] in Serum by Immunoassay,http://loinc.org,2.56,emptyvalue,X
2597,JCPCR,JC - Virus,Kopien/ml,Virologie,emptyvalue,emptyvalue,49412-0,JC virus DNA [#/volume] (viral load) in Specimen by NAA with probe detection,http://loinc.org,2.70,&#123;copies}/mL,X
2599,JCIU,JC - Virus,IU/ml,Virologie,emptyvalue,emptyvalue,49412-0,JC virus DNA [#/volume] (viral load) in Specimen by NAA with probe detection,http://loinc.org,2.73,[IU]/mL,X
2600,IVY,In vivo Blutungszeit (IVY),min,Hämostaseologie Globaltests,emptyvalue,emptyvalue,3179-9,Bleeding time by Ivy method,http://loinc.org,2.44,min,X
2601,IVBC,IVBT-EPI (PFA-100),sec,emptyvalue,emptyvalue,emptyvalue,emptyvalue,Platelet function (closure time) collagen+ADP induced [Time] in Blood,emptyvalue,emptyvalue,s,X
2602,IVBA,IVBT-ADP (PFA-100),sec,emptyvalue,emptyvalue,emptyvalue,emptyvalue,Closure Tme Coll+Epinep Bld,emptyvalue,emptyvalue,s,X
2603,ISON,Isoniazid [Fremdlabor],µg/ml,#NV,emptyvalue,emptyvalue,3697-0,Isoniazid [Mass/volume] in Serum or Plasma,http://loinc.org,2.44,ug/mL,X
2605,ISAC,ISAC Allergen Chip,emptyvalue,#NV,emptyvalue,emptyvalue,94593-1,Multiplex allergen panel - Serum or Plasma,http://loinc.org,2.68,emptyvalue,X
2608,IRF,Unreife Retikulocyten (HFR + MFR),%,emptyvalue,emptyvalue,emptyvalue,33516-6,Immature reticulocytes/Reticulocytes.total in Blood,http://loinc.org,2.73,%,X
2609,IPF,unreife Thrombozyten,%,Blutbild,emptyvalue,emptyvalue,71693-6,Platelets reticulated/100 platelets in Blood by Automated count,http://loinc.org,2.73,%,X
2611,INTEM_CT5,RoTEM Intem CT nach 5 min.,sec,emptyvalue,emptyvalue,emptyvalue,emptyvalue,Clot formation.intrinsic coagulation system activated,emptyvalue,emptyvalue,s,X
2612,INSU90,Insulin 90 min,mU/l,Hormone,emptyvalue,emptyvalue,27330-0,Insulin [Units/volume] in Serum or Plasma --1.5 hours post dose glucose,http://loinc.org,2.70,mU/L,X
2613,INSU60,Insulin 60 min,mU/l,Hormone,emptyvalue,emptyvalue,27379-7,Insulin [Units/volume] in Serum or Plasma --1 hour post dose glucose,http://loinc.org,2.70,mU/L,X
2614,INSU5,Insulin 5 min,mU/l,Hormone,emptyvalue,emptyvalue,57353-5,Insulin [Units/volume] in Serum or Plasma --5 minutes post XXX challenge,http://loinc.org,2.70,mU/L,X
2615,INSU480,Insulin 480 min,mU/l,Hormone,emptyvalue,emptyvalue,56941-8,Insulin [Units/volume] in Serum or Plasma --8 hours post XXX challenge,http://loinc.org,2.68,mU/L,X
2616,INSU40,Insulin 40 min,mU/l,Hormone,emptyvalue,emptyvalue,27444-9,Insulin [Units/volume] in Serum or Plasma --40 minutes post XXX challenge,http://loinc.org,2.70,mU/L,X
2617,INSU360,Insulin 360 min,mU/l,Hormone,emptyvalue,emptyvalue,29379-5,Insulin [Units/volume] in Serum or Plasma --6 hours post XXX challenge,http://loinc.org,2.70,mU/L,X
2618,INSU300,Insulin 300 min,mU/l,Hormone,emptyvalue,emptyvalue,27852-3,Insulin [Units/volume] in Serum or Plasma --5 hours post XXX challenge,http://loinc.org,2.68,mU/L,X
2619,INSU30,Insulin 30 min,mU/l,Hormone,emptyvalue,emptyvalue,27827-5,Insulin [Units/volume] in Serum or Plasma --30 minutes post dose glucose,http://loinc.org,2.68,mU/L,X
2620,INSU270,Insulin 270 min,mU/l,Hormone,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,mU/L,X
2621,INSU240,Insulin 240 min,mU/l,Hormone,emptyvalue,emptyvalue,29378-7,Insulin [Units/volume] in Serum or Plasma --4 hours post XXX challenge,http://loinc.org,2.70,mU/L,X
2622,INSU210,Insulin 210 min,mU/l,Hormone,emptyvalue,emptyvalue,30261-2,Insulin [Units/volume] in Serum or Plasma --3.5 hours post XXX challenge,http://loinc.org,2.68,mU/L,X
2623,INSU20,Insulin 20 min,mU/l,Hormone,emptyvalue,emptyvalue,27372-2,Insulin [Units/volume] in Serum or Plasma --20 minutes post dose glucose,http://loinc.org,2.70,mU/L,X
2624,INSU180,Insulin 180 min,mU/l,Hormone,emptyvalue,emptyvalue,27828-3,Insulin [Units/volume] in Serum or Plasma --3 hours post dose glucose,http://loinc.org,2.68,mU/L,X
2625,INSU150,Insulin 150 min,mU/l,Hormone,emptyvalue,emptyvalue,27863-0,Insulin [Units/volume] in Serum or Plasma --2.5 hours post dose glucose,http://loinc.org,2.68,mU/L,X
2626,INSU120,Insulin 120 min,mU/l,Hormone,emptyvalue,emptyvalue,47659-8,Insulin [Units/volume] in Serum or Plasma --2 hours post dose glucose,http://loinc.org,2.68,mU/L,X
2627,INSU10,Insulin 10 min,mU/l,Hormone,emptyvalue,emptyvalue,47654-9,Insulin [Units/volume] in Serum or Plasma --10 minutes post dose glucose,http://loinc.org,2.70,mU/L,X
2628,INSU0,Insulin 0 min,mU/l,Hormone,emptyvalue,emptyvalue,56482-3,Insulin [Units/volume] in Serum or Plasma--baseline,http://loinc.org,2.70,mU/L,X
2629,INSU,Insulin,mU/l,Hormone,emptyvalue,emptyvalue,20448-7,Insulin [Units/volume] in Serum or Plasma,http://loinc.org,2.70,mU/L,X
2630,INRKC,INR (unter Marcumartherapie),emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
2631,INR,INR,emptyvalue,Hämostaseologie Globaltests,emptyvalue,emptyvalue,6301-6,Coagulation tissue factor induced.INR,http://loinc.org,2.70,&#123;INR},X
2632,INOR,...INR,Ratio,Hämostaseologie Globaltests,emptyvalue,emptyvalue,38875-1,INR in Platelet poor plasma or blood by Coagulation assay,http://loinc.org,2.69,&#123;INR},X
2634,INHB,Inhibin B [Fremdlabor],ng/l,0,emptyvalue,emptyvalue,56940-0,Inhibin B [Mass/volume] in Serum or Plasma by Immunoassay,http://loinc.org,2.56,ng/L,X
2635,INHA,Inhibin A [Fremdlabor],pg/ml,Klinische Chemie,emptyvalue,emptyvalue,23883-2,Inhibin A [Mass/volume] in Serum or Plasma,http://loinc.org,2.42,pg/mL,X
2636,INFO3,Schwangerschaftstest (Urin),emptyvalue,Hormone,emptyvalue,emptyvalue,2106-3,Choriogonadotropin (pregnancy test) [Presence] in Urine,emptyvalue,emptyvalue,emptyvalue,emptyvalue
2637,INFO2,Toxikologie Screening (Urin),emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
2641,INFLIXIAK,Infliximab-Antikörper [Fremdlabor],emptyvalue,IBD assoziierte Autoantikörper,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
2642,INFLIXI,Infliximab [Fremdlabor],µg/ml,#NV,emptyvalue,emptyvalue,86896-8,inFLIXimab [Mass/volume] in Serum or Plasma by Immunoassay,http://loinc.org,2.63,ug/mL,X
2644,INFASPCR,Influenzavirus A/B,emptyvalue,Virologie,emptyvalue,emptyvalue,62462-7,Influenza virus A+B RNA [Presence] in Specimen by NAA with probe detection,http://loinc.org,2.73,emptyvalue,X
2648,IMI,Imipramin,µg/l,Psychopharmaka,emptyvalue,emptyvalue,3690-5,Imipramine [Mass/volume] in Serum or Plasma,http://loinc.org,2.40,ug/L,X
2649,IMGRd,Unreife Granulozyten,%,Blutbild,emptyvalue,Automat,71695-1,Immature granulocytes/100 leukocytes in Blood by Automated count,http://loinc.org,2.50,%,X
2652,IMGRad,Unreife Granulozyten (abs.),G/l,Blutbild,emptyvalue,Automat,53115-2,Immature granulocytes [#/volume] in Blood by Automated count,http://loinc.org,2.46,10*9/L,X
2653,IMGRa,Unreife Granulozyten absolut,Zellen/µl,emptyvalue,emptyvalue,emptyvalue,51584-1,Immature granulocytes [#/volume] in Blood,http://loinc.org,2.73,&#123;cells}/uL,X
2654,IMGR,Unreife Granulozyten %,%,emptyvalue,emptyvalue,emptyvalue,38518-7,Immature granulocytes/100 leukocytes in Blood,http://loinc.org,2.73,%,X
2655,IL8,Interleukin 8,ng/l,Klinische Chemie,emptyvalue,emptyvalue,33211-4,Interleukin 8 [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,ng/L,X
2657,IL6,Interleukin 6,pg/ml,Klinische Chemie,emptyvalue,emptyvalue,26881-3,Interleukin 6 [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,pg/mL,X
2659,IL2RIa,IL2 Rezeptor auf T-Zellen,G/l,Klinische Chemie,emptyvalue,emptyvalue,24458-2,Interleukin 2 receptor [Mass/volume] in Serum or Plasma,http://loinc.org,2.34,10*9/L,X
2660,IL2RI,IL2 Rezeptor auf T-Zellen,%,Klinische Chemie,emptyvalue,emptyvalue,17114-0,CD122 cells/100 cells in Blood,http://loinc.org,2.70,%,emptyvalue
